PDB ID	Name	EC Number	UniProtKB ID
1zrz	protein kinase C	2.7.11.13	P41743
1zym	phosphoenolpyruvate---protein phosphotransferase	2.7.3.9	P08839
206l	lysozyme	3.2.1.17	P00720
2a0n		4.1.3.-	Q9X0C6
2a86	pantoate---beta-alanine ligase	6.3.2.1	P0A5R0
2aat	aspartate transaminase	2.6.1.1	P00509
2abk	DNA-(apurinic or apyrimidinic site) lyase	4.2.99.18	P0AB83
2ace	acetylcholinesterase	3.1.1.7	P04058
2acu	aldehyde reductase	1.1.1.21	P15121
2acy	acylphosphatase	3.6.1.7	P41500
2adm	site-specific DNA-methyltransferase (adenine-specific)	2.1.1.72	P14385
2ahj	nitrile hydratase	4.2.1.84	P13448
2ahj	nitrile hydratase	4.2.1.84	P13449
2alr	alcohol dehydrogenase (NADP+)	1.1.1.2	P14550
2amg	glucan 1,4-alpha-maltotetraohydrolase	3.2.1.60	P13507
2apr	rhizopuspepsin	3.4.23.21	P06026
2ayh	licheninase	3.2.1.73	P23904
2b3i	plastoquinol---plastocyanin reductase	1.10.99.1	P50057
2bbk	methylamine dehydrogenase (amicyanin)	1.4.98.1	P29894
2bbk	methylamine dehydrogenase (amicyanin)	1.4.98.1	P22619
2bhg	RNA-directed RNA polymerase	2.7.7.48	P03306
2bif	6-phosphofructo-2-kinase	2.7.1.105	P25114
2bkr	SENTRIN-SPECIFIC PROTEASE 8	3.4.22.-	Q96LD8
2bkr	SENTRIN-SPECIFIC PROTEASE 8	3.4.22.-	Q15843
1xx2	beta-lactamase	3.5.2.6	P05364
2bmi	beta-lactamase	3.5.2.6	P25910
2bx4	ubiquitinyl hydrolase 1	3.4.19.12	P0C6U8
2cnd	nitrate reductase (NADH)	1.7.1.1	P17571
2cpo	chloride peroxidase	1.11.1.10	P04963
2cpu	alpha-amylase	3.2.1.1	P04746
2dhn	dihydroneopterin aldolase	4.1.2.25	P56740
2dln	D-alanine---D-alanine ligase	6.3.2.4	P07862
2dor	dihydroorotate dehydrogenase (fumarate)	1.3.98.1	A2RJT9
2ebn	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	3.2.1.96	P36911
2eng	cellulase	3.2.1.4	P43316
2eql	lysozyme	3.2.1.17	P11376
2esd	glyceraldehyde-3-phosphate dehydrogenase (NADP+)	1.2.1.9	Q59931
2f61	glucosylceramidase	3.2.1.45	P04062
2f9r	sphingomyelin phosphodiesterase D	3.1.4.41	Q8I914
2f9z	protein-glutamate methylesterase	3.1.1.61	Q9X006
2f9z	protein-glutamate methylesterase	3.1.1.61	Q9X005
2fmn	methylenetetrahydrofolate reductase [NAD(P)H]	1.5.1.20	P0AEZ1
2fok	type II site-specific deoxyribonuclease	3.1.21.4	P14870
2fqq	caspase-1	3.4.22.36	P29466
2gsa	glutamate-1-semialdehyde 2,1-aminomutase	5.4.3.8	P24630
2hdh	3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	Q16836
2hgs	glutathione synthase	6.3.2.3	P48637
2hi7	THIOL:DISULFIDE INTERCHANGE PROTEIN DSBA	1.8.4.-	P0AEG4
2hi7	THIOL:DISULFIDE INTERCHANGE PROTEIN DSBA	1.8.4.-	P0A6M2
2his	endo-1,4-beta-xylanase	3.2.1.8	P07986
2hsa	12-oxophytodienoate reductase	1.3.1.42	Q9FEW9
2isd	phosphoinositide phospholipase C	3.1.4.11	P10688
2jcw	superoxide dismutase	1.15.1.1	P00445
2jxr	saccharopepsin	3.4.23.25	P07267
2lip	triacylglycerol lipase	3.1.1.3	P22088
2lpr	alpha-lytic endopeptidase	3.4.21.12	P00778
2nac	formate dehydrogenase	1.2.1.2	P33160
2nmt	glycylpeptide N-tetradecanoyltransferase	2.3.1.97	P14743
2npx	NADH peroxidase	1.11.1.1	P37062
2oat	ornithine aminotransferase	2.6.1.13	P04181
2pec	pectate lyase	4.2.2.2	P11073
2pfl	formate C-acetyltransferase	2.3.1.54	P09373
2pgd	phosphogluconate dehydrogenase (decarboxylating)	1.1.1.44	P00349
2phk	phosphorylase kinase	2.7.11.19	P00518
2pia	PHTHALATE DIOXYGENASE REDUCTASE (E.C.1.18.1.)	1.-.-.-	P33164
2plc	phosphatidylinositol diacylglycerol-lyase	4.6.1.13	P34024
2pth	aminoacyl-tRNA hydrolase	3.1.1.29	P0A7D1
2rnf	RIBONUCLEASE 4	3.1.-.-	P34096
2sqc	squalene---hopene cyclase	5.4.99.17	P33247
2tdt	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2.3.1.117	P56220
2thi	thiamine pyridinylase	2.5.1.2	P45741
2tmd	trimethylamine dehydrogenase	1.5.8.2	P16099
2toh	tyrosine 3-monooxygenase	1.14.16.2	P04177
2tpl	tyrosine phenol-lyase	4.1.99.2	P31013
2tps	thiamine-phosphate diphosphorylase	2.5.1.3	P39594
2ts1	tyrosine---tRNA ligase	6.1.1.1	P00952
2xis	xylose isomerase	5.3.1.5	P24300
2ypn	hydroxymethylbilane synthase	2.5.1.61	P06983
3cla	chloramphenicol O-acetyltransferase	2.3.1.28	P00484
3csm	chorismate mutase	5.4.99.5	P32178
3eca	asparaginase	3.5.1.1	P00805
3mdd	acyl-CoA dehydrogenase	1.3.99.3	P41367
3nos	nitric-oxide synthase	1.14.13.39	P29474
3pca	protocatechuate 3,4-dioxygenase	1.13.11.3	P00436
3pca	protocatechuate 3,4-dioxygenase	1.13.11.3	P00437
3pva	penicillin amidase	3.5.1.11	P12256
3r1r	ribonucleoside-diphosphate reductase	1.17.4.1	P00452
3r1r	ribonucleoside-diphosphate reductase	1.17.4.1	P69924
4kbp	acid phosphatase	3.1.3.2	P80366
4mdh	malate dehydrogenase	1.1.1.37	P11708
5cox	prostaglandin-endoperoxide synthase	1.14.99.1	Q05769
5cpa	carboxypeptidase A	3.4.17.1	P00730
5eat	5-epiaristolochene synthase	4.2.3.61	Q40577
5enl	phosphopyruvate hydratase	4.2.1.11	P00924
5fit	bis(5'-adenosyl)-triphosphatase	3.6.1.29	P49789
5rsa	pancreatic ribonuclease	3.1.27.5	P61823
7atj	peroxidase	1.11.1.7	P00433
7nn9	exo-alpha-sialidase	3.2.1.18	P03472
7odc	ornithine decarboxylase	4.1.1.17	P00860
8pch	cathepsin H	3.4.22.16	O46427
8tln	thermolysin	3.4.24.27	P00800
9pap	papain	3.4.22.2	P00784
